File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5d8d81e1-d5ff-491c-99ce-cb9aad50668f	4ca76237-7021-428f-bee5-6c60d10b625a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-D5-6531	TCGA-D5-6531-01A	Primary Tumor
768a72a1-8b7e-4daf-9805-9402dea9abb9	a2be229d-5238-4654-9a8b-a53a697a8cae.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-DM-A28M	TCGA-DM-A28M-01A	Primary Tumor
cde4b708-913c-4904-8773-e4ccbfd286bf	da13a1d5-d877-43b7-ac6a-a8cd777c03a1.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-AM-5821	TCGA-AM-5821-01A	Primary Tumor
26b81246-8179-44d9-949e-bd1a252bca11	ce422278-bf23-4a61-9681-a2a77e91b91f.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-A6-2685	TCGA-A6-2685-11A	Solid Tissue Normal
9a498241-80c4-4a35-80eb-f60f5c232e6d	9a4418cf-37e9-47e7-80a6-475b6e24101d.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-A6-6781	TCGA-A6-6781-01A	Primary Tumor
5ee0ff6d-6211-405c-b513-cac76e6185bd	9614245b-758e-447e-8953-d460022e2efb.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-CM-4743	TCGA-CM-4743-01A	Primary Tumor
c4199f43-feaf-426f-927d-079640eef910	e8381313-89f8-480b-b2e8-53c69f3d0da1.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-AZ-4315	TCGA-AZ-4315-01A	Primary Tumor
392bcc05-82ee-441f-a45a-07be70f26be8	d7054e4e-f075-4f25-84ed-5c696daf72e6.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-AD-5900	TCGA-AD-5900-01A	Primary Tumor
f53bb558-305d-4f65-977d-26be2cee8f76	cd59806a-e746-4ba0-ab0d-c447d4e1c4ed.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-AY-4070	TCGA-AY-4070-01A	Primary Tumor
017c432a-cc11-4bcf-9bf1-74943d9c9d1f	d6154796-9307-4501-9963-a37f9833dd69.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-A6-5664	TCGA-A6-5664-01A	Primary Tumor
3b314156-c9e5-4004-bbe9-f126110113da	c13e5ab1-f543-491a-bc28-73558b0403e5.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-COAD	TCGA-4T-AA8H	TCGA-4T-AA8H-01A	Primary Tumor
